Tiempo(seg),Temperatura 1,Temperatura 2,Temperatura 3,Temperatura 4,Temperatura 5,Temperatura 6,Temperatura 7,Temperatura 8,Temperatura 9,Temperatura 10
 21, 849.943676938069, 849.943464530719, 849.930889348632, 849.899710760013, 849.834761052711, 849.706479489457, 849.460709114384, 849.007012267188, 848.213932042418, 846.927732837624
 21.5, 849.938169684332, 849.937943962682, 849.92458189931, 849.891585244648, 849.823315052302, 849.689656827991, 849.436076621682, 848.972545229374, 848.169605871989, 846.877203402677
 22, 849.932332013682, 849.932092749484, 849.917930379965, 849.883090919735, 849.811475494127, 849.672445485323, 849.411137953953, 848.937973508525, 848.1254669465, 846.827089479341
 22.5, 849.92615890004, 849.925905887293, 849.910931099814, 849.874226950309, 849.799246066805, 849.654854504459, 849.385905546012, 848.903306410495, 848.081512882872, 846.777376294354
 23, 849.919645849569, 849.919378904087, 849.903580874052, 849.864992927709, 849.786630689867, 849.63689279649, 849.36039126201, 848.868552530461, 848.037741170554, 846.728049858722
 23.5, 849.912788888123, 849.912507847023, 849.895877006492, 849.855388844834, 849.773633486106, 849.618569126975, 849.33460641847, 848.833719808476, 847.994149197393, 846.679096911115
 24, 849.905584547055, 849.905289268168, 849.887817271319, 849.845415071947, 849.760258756127, 849.599892104915, 849.308561807239, 848.798815580464, 847.950734271839, 846.630504866284
 24.5, 849.898029847629, 849.897720208868, 849.879399894163, 849.835072333109, 849.746510954953, 849.580870173997, 849.282267718197, 848.763846625034, 847.907493641993, 846.582261767999
 25, 849.890122284345, 849.88979818302, 849.870623532704, 849.824361683321, 849.732394670557, 849.561511605829, 849.255733961576, 848.728819206462, 847.864424511922, 846.534356246032
 25.5, 849.881859807372, 849.881521159467, 849.861487256983, 849.813284486419, 849.717914604219, 849.541824494912, 849.228969889778, 848.693739114177, 847.821524055652, 846.486777476779
 26, 849.87324080433, 849.872887543761, 849.851990529582, 849.801842393775, 849.703075552546, 849.521816755119, 849.201984418606, 848.658611699023, 847.778789429125, 846.43951514717
 26.5, 849.864264081604, 849.863896159449, 849.842133185798, 849.790037323815, 849.687882391077, 849.501496117478, 849.17478604785, 848.623441906602, 847.736217780418, 846.392559421527
 27, 849.854928845357, 849.854546229078, 849.831915413951, 849.777871442388, 849.672340059328, 849.480870129084, 849.147382881185, 848.588234307925, 847.693806258462, 846.345900911107
 27.5, 849.845234682399, 849.844837355062, 849.821337735906, 849.765347143978, 849.656453547181, 849.459946152973, 849.119782645335, 848.552993127599, 847.651552020453, 846.299530646054
 28, 849.835181541047, 849.834769500534, 849.810400987915, 849.752467033778, 849.640227882525, 849.438731368815, 849.091992708509, 848.517722269782, 847.609452238146, 846.253440049555
 28.5, 849.824769712088, 849.824342970317, 849.799106301847, 849.739233910603, 849.623668120023, 849.417232774306, 849.064020098076, 848.482425342065, 847.567504103175, 846.207620913984
 29, 849.813999809936, 849.81355839209, 849.787455086854, 849.725650750636, 849.606779330955, 849.395457187151, 849.035871517499, 848.447105677481, 847.525704831535, 846.162065378849
 29.5, 849.802872754093, 849.802416697857, 849.775449011554, 849.711720692009, 849.589566594006, 849.373411247519, 849.007553362522, 848.411766354782, 847.484051667335, 846.116765910401
 30, 849.791389750957, 849.790919105779, 849.763089986736, 849.697447020168, 849.572034986966, 849.351101420917, 848.97907173662, 848.376410217146, 847.442541885922, 846.071715282737
 30.5, 849.779552276065, 849.77906710242, 849.750380148645, 849.682833154034, 849.554189579232, 849.328534001378, 848.950432465742, 848.341039889422, 847.401172796467, 846.02690656028
 31, 849.767362056797, 849.766862425485, 849.737321842854, 849.667882632913, 849.536035425062, 849.305715114916, 848.921641112341, 848.305657794063, 847.359941744077, 845.982333081508
 31.5, 849.754821055599, 849.754307047053, 849.723917608752, 849.652599104145, 849.517577557518, 849.282650723185, 848.892702988741, 848.270266165833, 847.318846111497, 845.937988443839
 32, 849.741931453748, 849.74140315737, 849.710170164649, 849.636986311459, 849.498820983033, 849.259346627293, 848.863623169833, 848.234867065396, 847.277883320471, 845.893866489565
 32.5, 849.72869563568, 849.7281531492, 849.696082393507, 849.621048084005, 849.479770676547, 849.235808471723, 848.834406505148, 848.199462391881, 847.237050832792, 845.84996129275
 33, 849.715116173913, 849.714559602768, 849.681657329297, 849.604788326047, 849.460431577177, 849.212041748332, 848.805057630316, 848.164053894508, 847.196346151087, 845.80626714702
 33.5, 849.701195814553, 849.700625271296, 849.66689814398, 849.588211007276, 849.44080858436, 849.1880518004, 848.775580977946, 848.128643183342, 847.155766819394, 845.76277855417
 34, 849.686937463415, 849.686353067144, 849.651808135106, 849.571320153723, 849.420906554426, 849.16384382668, 848.745980787941, 848.093231739251, 847.11531042352, 845.719490213518
 34.5, 849.672344172737, 849.671746048552, 849.63639071402, 849.554119839251, 849.400730297582, 849.139422885458, 848.71626111728, 848.057820923135, 847.074974591256, 845.676397011956
 35, 849.657419128503, 849.656807406985, 849.620649394657, 849.536614177579, 849.380284575252, 849.114793898572, 848.686425849292, 848.022411984473, 847.034756992435, 845.633494014641
 35.5, 849.642165638355, 849.641540455073, 849.604587782931, 849.518807314841, 849.359574097746, 849.089961655403, 848.65647870244, 847.987006069252, 846.99465533887, 845.590776456277
 36, 849.626587120105, 849.625948615141, 849.588209566677, 849.500703422626, 849.338603522237, 849.064930816796, 848.626423238643, 847.951604227322, 846.954667384192, 845.548239732944
 36.5, 849.610687090803, 849.610035408308, 849.571518506155, 849.482306691493, 849.317377451005, 849.039705918927, 848.596262871159, 847.916207419217, 846.914790923597, 845.505879394429
 37, 849.594469156392, 849.593804444161, 849.55451842508, 849.463621324933, 849.295900429938, 849.014291377083, 848.566000872039, 847.880816522496, 846.875023793515, 845.463691137036
