Tiempo(seg),Temperatura 1,Temperatura 2,Temperatura 3,Temperatura 4,Temperatura 5,Temperatura 6,Temperatura 7,Temperatura 8,Temperatura 9,Temperatura 10
 .5, 848.5198031071, 848.458736265127, 848.268817427237, 847.9263173889, 847.388354649993, 846.586843163563, 845.419014394283, 843.733032597181, 841.306597558394, 837.815398395904, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 1, 845.370156493618, 845.240215015602, 844.842813289577, 844.152075121269, 843.124828789496, 841.700452988179, 839.801991399994, 837.339962833225, 834.221531390304, 830.369547998544, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 1.5, 841.058768661992, 840.880898514674, 840.342015166141, 839.424494956349, 838.100412979272, 836.333551878777, 834.082788111933, 831.3070926343, 827.972295190478, 824.059218636457, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 2, 836.094252256694, 835.889436707998, 835.272025644449, 834.232244810765, 832.755106819476, 830.822131512904, 828.413775138463, 825.512377532524, 822.105319367074, 818.187854618679, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 2.5, 830.806016734745, 830.587845865392, 829.93186396225, 828.833272806378, 827.284886889469, 825.278173226833, 822.804604085084, 819.85714213171, 816.431644473458, 812.52793236884, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 3, 825.375384697211, 825.151339132703, 824.478556130422, 823.3549468903, 821.777466400024, 819.742666763496, 817.247386143031, 814.289466927022, 810.868392503806, 806.985733733209, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 3.5, 819.895013283422, 819.668915676619, 818.990397099319, 817.858745498873, 816.272992001509, 814.232189958959, 811.735753264042, 808.78379977852, 805.377446259507, 801.519006779493, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 4, 814.410551051089, 814.184284673921, 813.505466975025, 812.374062178191, 810.790114186059, 808.753884376579, 806.266014972141, 803.327692511586, 799.940785859316, 796.107936855618, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 4.5, 808.944041392831, 808.718515665105, 808.042019965004, 806.914844543527, 805.337519623754, 803.310883270897, 800.83615948606, 797.915035567742, 794.549726624141, 790.743017026266, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 5, 803.505971883969, 803.281619479953, 802.608691351947, 801.487632669913, 799.91920402527, 797.9045152969, 795.445062595716, 792.542764438923, 789.199991459062, 785.41958483659, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 5.5, 798.101240780956, 797.878263782585, 797.2094841037, 796.095419154545, 794.536936508107, 792.535271363127, 790.092043722406, 787.209274866108, 783.889400492589, 780.13527825472, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 6, 792.732058590124, 792.510548193806, 791.846178354118, 790.739498983115, 789.191425398497, 787.203247900181, 784.776639474711, 781.913662846342, 778.616775713269, 774.888833102191, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 6.5, 787.399347262795, 787.179341504454, 786.519489763246, 785.420355406582, 783.882873122027, 781.908354704556, 779.498492226211, 776.655360583397, 773.381418960941, 769.679510720565, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 7, 782.103412252648, 781.884923734047, 781.229625098453, 780.138084057599, 778.611241101279, 776.650413461069, 774.257296112182, 771.433962170849, 768.182862560961, 764.506824731986, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 7.5, 776.844264718436, 776.62729389994, 775.976548415308, 774.89259597213, 773.376376390096, 771.429204683214, 769.052771027435, 766.24914013471, 763.020750066704, 759.370410401262, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 8, 771.621775860815, 771.406317428693, 770.760108518585, 769.683714766601, 768.178072247842, 766.244490128321, 763.88465014108, 761.100605476129, 757.894779193102, 754.269962132361, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 8.5, 766.435750817588, 766.221796732625, 765.580099979557, 764.51122314781, 763.016097120071, 761.096023509989, 758.75267390657, 755.988088538049, 752.804674499719, 749.20520355128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 9, 761.285964034212, 761.073504990955, 760.436292339258, 759.37488516942, 757.890208502433, 755.983555616975, 753.656587186413, 750.911329840092, 747.750174309774, 744.175873180952, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 9.5, 756.172176189318, 755.96120231435, 755.32844408129, 754.274456879004, 752.800159570028, 750.906836756463, 748.596137869069, 745.870075685047, 742.731024442545, 739.181717578286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 10, 751.094142290252, 750.884643476184, 750.25630931385, 749.209691408014, 747.745702344154, 745.865617917048, 743.571076200422, 740.864076049456, 737.746975206979, 734.22248804285, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 10.5, 746.051615541805, 745.843581606879, 745.219640961821, 744.180341401793, 742.72658920172, 740.859651319021, 738.581154457403, 735.89308356756, 732.797779956334, 729.297939035158, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 11, 741.044349191685, 740.837769955916, 740.218192288371, 739.186160176379, 737.7425735914, 735.888690671432, 733.626126785441, 730.956853038663, 727.883194390072, 724.407827413332, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 11.5, 736.07209740756, 735.866962728917, 735.251717616964, 734.226902265922, 732.793410370133, 730.952491288854, 728.705749114398, 726.055141185079, 723.002976213481, 719.55191206153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
